Date,Time,Market Regime,Confidence Score,Transition Threshold Score
2024-01-01,09:15:00,Bearish_Vol_Expansion,0.654,0.491
2024-01-01,09:20:00,Sideways_Decay,0.781,0.607
2024-01-01,09:25:00,Bearish_Linear_Decay,0.647,0.644
2024-01-01,09:30:00,Expiry_Pinning,0.867,0.582
2024-01-01,09:35:00,Bullish_Linear_Decay,0.883,0.601
2024-01-01,09:40:00,Bullish_Vol_Expansion,0.673,0.563
2024-01-01,09:45:00,Bearish_Linear_Decay,0.852,0.402
2024-01-01,09:50:00,Bullish_Grind,0.825,0.420
2024-01-01,09:55:00,Expiry_Pinning,0.875,0.449
2024-01-01,10:00:00,Sideways_Low_Vol,0.813,0.560
2024-01-01,10:05:00,Expiry_Pinning,0.656,0.717
2024-01-01,10:10:00,Expiry_Pinning,0.914,0.381
2024-01-01,10:15:00,Sideways_Decay,0.783,0.696
2024-01-01,10:20:00,Sideways_Decay,0.777,0.562
2024-01-01,10:25:00,Bullish_Grind,0.786,0.423
2024-01-01,10:30:00,Bearish_Vol_Expansion,0.724,0.476
2024-01-01,10:35:00,Bullish_Linear_Decay,0.741,0.351
2024-01-01,10:40:00,Bullish_Grind,0.610,0.721
2024-01-01,10:45:00,Sideways_Violent,0.878,0.531
2024-01-01,10:50:00,Vol_Crush,0.702,0.562
2024-01-01,10:55:00,Sideways_Violent,0.689,0.514
2024-01-01,11:00:00,Bearish_Linear_Decay,0.741,0.414
2024-01-01,11:05:00,Sideways_Decay,0.854,0.471
2024-01-01,11:10:00,Sideways_Violent,0.857,0.607
2024-01-01,11:15:00,Bearish_Linear_Decay,0.627,0.467
2024-01-01,11:20:00,Bearish_Linear_Decay,0.919,0.689
2024-01-01,11:25:00,Bearish_Panic,0.858,0.404
2024-01-01,11:30:00,Expiry_Pinning,0.670,0.368
2024-01-01,11:35:00,Vol_Crush,0.651,0.571
2024-01-01,11:40:00,Bullish_Vol_Expansion,0.820,0.424
2024-01-01,11:45:00,Bullish_Linear_Decay,0.941,0.653
2024-01-01,11:50:00,Bullish_Grind,0.874,0.615
2024-01-01,11:55:00,Bearish_Vol_Expansion,0.900,0.651
2024-01-01,12:00:00,Breakout_Mode,0.637,0.593
2024-01-01,12:05:00,Sideways_Decay,0.639,0.454
2024-01-01,12:10:00,Bearish_Vol_Expansion,0.708,0.471
2024-01-01,12:15:00,Bullish_Grind,0.899,0.447
2024-01-01,12:20:00,Bullish_Linear_Decay,0.897,0.675
2024-01-01,12:25:00,Bullish_Vol_Expansion,0.634,0.450
2024-01-01,12:30:00,Bearish_Linear_Decay,0.820,0.631
2024-01-01,12:35:00,Vol_Crush,0.607,0.596
2024-01-01,12:40:00,Bullish_Vol_Expansion,0.824,0.692
2024-01-01,12:45:00,Sideways_Decay,0.726,0.399
2024-01-01,12:50:00,Sideways_Violent,0.668,0.747
2024-01-01,12:55:00,Expiry_Pinning,0.601,0.746
2024-01-01,13:00:00,Bullish_Grind,0.859,0.507
2024-01-01,13:05:00,Bullish_Grind,0.886,0.424
2024-01-01,13:10:00,Sideways_Decay,0.845,0.598
2024-01-01,13:15:00,Sideways_Violent,0.756,0.402
2024-01-01,13:20:00,Vol_Crush,0.644,0.594
2024-01-01,13:25:00,Sideways_Decay,0.629,0.357
2024-01-01,13:30:00,Bullish_Vol_Expansion,0.865,0.563
2024-01-01,13:35:00,Sideways_Violent,0.679,0.542
2024-01-01,13:40:00,Sideways_Low_Vol,0.755,0.519
2024-01-01,13:45:00,Expiry_Pinning,0.787,0.536
2024-01-01,13:50:00,Breakout_Mode,0.926,0.373
2024-01-01,13:55:00,Bearish_Linear_Decay,0.765,0.697
2024-01-01,14:00:00,Sideways_Violent,0.621,0.597
2024-01-01,14:05:00,Expiry_Pinning,0.950,0.377
2024-01-01,14:10:00,Bullish_Linear_Decay,0.756,0.545
2024-01-01,14:15:00,Bullish_Grind,0.712,0.666
2024-01-01,14:20:00,Bullish_Vol_Expansion,0.757,0.532
2024-01-01,14:25:00,Bullish_Linear_Decay,0.836,0.587
2024-01-01,14:30:00,Bullish_Vol_Expansion,0.743,0.611
2024-01-01,14:35:00,Vol_Crush,0.821,0.489
2024-01-01,14:40:00,Breakout_Mode,0.867,0.719
2024-01-01,14:45:00,Bearish_Linear_Decay,0.926,0.601
