,ROI,Max Drawdown,Win Percentage,Profit Factor,Expectancy
Python_Multi_Consolidated_20250726_161921_SENSEX 1156-1226 SL73%TP42%,-14258.492519999902,19424.91939999993,0.524390243902439,0.549445815502828,-173.88405512195
Python_Multi_Consolidated_20250726_161921_SENSEX 1120-1220 SL47%,2162.751120000119,11706.726129999955,0.5853658536585366,1.070846672259155,26.375013658537966
Python_Multi_Consolidated_20250726_161921_SENSEX 1200-1300 SL73%TP42%,-13285.229339999898,22273.81271999993,0.5975609756097561,0.6738750269740731,-162.0149919512184
Python_Multi_Consolidated_20250726_161921_SENSEX 1117-1517 SL47%,5945.339540000115,30134.84492999994,0.6097560975609756,1.0715717008511416,72.50414073170873
Python_Multi_Consolidated_20250726_161921_SENSEX 1116-1146 SL47%,-6668.712829999885,8524.800429999921,0.4878048780487805,0.6927346242059598,-81.32576621951085
Python_Multi_Consolidated_20250726_161921_SENSEX 1202-1402 SL73%TP42%,-21474.31070999991,33216.461389999924,0.5365853658536586,0.696781198581421,-261.8818379268283
Python_Multi_Consolidated_20250726_161921_SENSEX 1114-1414 SL47%,10443.242480000108,17805.14482999996,0.6097560975609756,1.1651521370721556,127.35661560975745
Python_Multi_Consolidated_20250726_161921_SENSEX 1204-1504 SL73%TP42%,-26200.7680799999,45259.208509999946,0.5,0.704129378565226,-319.52156195121836
Python_Multi_Consolidated_20250726_161921_SENSEX 1112-1312 SL47%,-317.6698399998977,16695.60038999998,0.6097560975609756,0.993782528478087,-3.8740224390231788
Python_Multi_Consolidated_20250726_161921_SENSEX 1110-1210 SL47%,8474.852890000091,5140.12109999999,0.6219512195121951,1.3953703980044516,103.35186451219636
Python_Multi_Consolidated_20250726_161921_SENSEX 1206-1236 SL73%TP42%,-15081.329099999899,20176.173099999924,0.524390243902439,0.551550734852136,-183.91864756097442
Python_Multi_Consolidated_20250726_161921_SENSEX 1122-1322 SL47%,-1943.5889399998832,21868.235939999915,0.5853658536585366,0.9638648842094785,-23.70230414634011
Python_Multi_Consolidated_20250726_161921_SENSEX 1124-1424 SL47%,-9903.129249999894,28524.938499999913,0.5487804878048781,0.8689874257676142,-120.76986890243745
Python_Multi_Consolidated_20250726_161921_SENSEX 1144-1444 SL73%TP42%,-44054.69320999989,54655.621779999936,0.4634146341463415,0.5788036745789693,-537.252356219511
Python_Multi_Consolidated_20250726_161921_SENSEX 1140-1240 SL47%,-12664.487149999892,20165.183049999912,0.6097560975609756,0.7136479755100495,-154.4449652439012
Python_Multi_Consolidated_20250726_161921_SENSEX 1136-1206 SL47%,-6250.759749999889,12312.701699999934,0.47560975609756095,0.7301617763048218,-76.22877743902305
Python_Multi_Consolidated_20250726_161921_SENSEX 1146-1216 SL73%TP42%,-8694.7284499999,13196.810849999918,0.5365853658536586,0.6793777785403657,-106.03327378048655
Python_Multi_Consolidated_20250726_161921_SENSEX 1134-1434 SL47%,11131.7307500001,22975.44777999997,0.6341463414634146,1.1874676921333254,135.75281402439123
Python_Multi_Consolidated_20250726_161921_SENSEX 1150-1250 SL73%TP42%,-7368.118099999898,21846.296899999914,0.6097560975609756,0.8387404982978386,-89.85509878048668
Python_Multi_Consolidated_20250726_161921_SENSEX 1107-1507 SL47%,10568.418700000126,24926.277249999977,0.5975609756097561,1.1315736466627535,128.88315487805005
Python_Multi_Consolidated_20250726_161921_SENSEX 1132-1332 SL47%,-8108.6698399998895,29376.740759999964,0.5853658536585366,0.8640717876936354,-98.8862175609745
Python_Multi_Consolidated_20250726_161921_SENSEX 1130-1230 SL47%,-2253.358929999895,14550.156329999976,0.5609756097560976,0.9358157209591993,-27.479986951218166
Python_Multi_Consolidated_20250726_161921_SENSEX 1152-1352 SL73%TP42%,-17256.235269999903,33051.055849999924,0.5609756097560976,0.7553835988640569,-210.44189353658396
Python_Multi_Consolidated_20250726_161921_SENSEX 1126-1156 SL47%,-2663.7851499998983,7416.230149999934,0.573170731707317,0.8638941238964828,-32.48518475609637
Python_Multi_Consolidated_20250726_161921_SENSEX 1154-1454 SL73%TP42%,-30044.848939999894,48036.528119999944,0.47560975609756095,0.6668996012307756,-366.400596829267
Python_Multi_Consolidated_20250726_161921_SENSEX 1210-1310 SL73%TP42%,-13291.32071999991,20246.995869999933,0.5853658536585366,0.6571201934587338,-162.08927707316968
Python_Multi_Consolidated_20250726_161921_SENSEX 1050-1150 SL47%,12444.283340000115,4409.497349999994,0.6585365853658537,1.628384671024563,151.7595529268307
